Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-30 13:38:00-05:00,92.66999816894531,93.2300033569336,92.66999816894531,93.18000030517578,588682,0,0
2022-11-30 13:39:00-05:00,93.18000030517578,93.36000061035156,93.06009674072266,93.12000274658203,444991,0,0
2022-11-30 13:40:00-05:00,93.12999725341797,93.36000061035156,93.12999725341797,93.18000030517578,301838,0,0
2022-11-30 13:41:00-05:00,93.19999694824219,93.27999877929688,93.0,93.02799987792969,293532,0,0
2022-11-30 13:42:00-05:00,93.02570343017578,93.05999755859375,92.76000213623047,92.79000091552734,261425,0,0
2022-11-30 13:43:00-05:00,92.77999877929688,92.8499984741211,92.63500213623047,92.82990264892578,352851,0,0
2022-11-30 13:44:00-05:00,92.82150268554688,93.0,92.78009796142578,92.94609832763672,324923,0,0
2022-11-30 13:45:00-05:00,92.94999694824219,93.04000091552734,92.80999755859375,92.82579803466797,248246,0,0
2022-11-30 13:46:00-05:00,92.81999969482422,92.93000030517578,92.51000213623047,92.62999725341797,338224,0,0
2022-11-30 13:47:00-05:00,92.62999725341797,92.77999877929688,92.6050033569336,92.77999877929688,203754,0,0
2022-11-30 13:48:00-05:00,92.77989959716797,92.97000122070312,92.77989959716797,92.87000274658203,385798,0,0
2022-11-30 13:49:00-05:00,92.87860107421875,92.91000366210938,92.7699966430664,92.88970184326172,193469,0,0
2022-11-30 13:50:00-05:00,92.87000274658203,92.95999908447266,92.76000213623047,92.77999877929688,192180,0,0
2022-11-30 13:51:00-05:00,92.78099822998047,92.80000305175781,92.5199966430664,92.53839874267578,261402,0,0
2022-11-30 13:52:00-05:00,92.52999877929688,92.64859771728516,92.45999908447266,92.58000183105469,245336,0,0
2022-11-30 13:53:00-05:00,92.58000183105469,92.81999969482422,92.58000183105469,92.76020050048828,149805,0,0
2022-11-30 13:54:00-05:00,92.7699966430664,92.91000366210938,92.72219848632812,92.88999938964844,156516,0,0
2022-11-30 13:55:00-05:00,92.9000015258789,93.13780212402344,92.87000274658203,93.12999725341797,327177,0,0
2022-11-30 13:56:00-05:00,93.11009979248047,93.12989807128906,93.04000091552734,93.0999984741211,168767,0,0
2022-11-30 13:57:00-05:00,93.11000061035156,93.38999938964844,93.05000305175781,93.33000183105469,464583,0,0
2022-11-30 13:58:00-05:00,93.32579803466797,93.55000305175781,93.31999969482422,93.53009796142578,373123,0,0
2022-11-30 13:59:00-05:00,93.54499816894531,93.7699966430664,93.53170013427734,93.6500015258789,417156,0,0
2022-11-30 14:00:00-05:00,93.6500015258789,94.05000305175781,93.63999938964844,94.01499938964844,554733,0,0
2022-11-30 14:01:00-05:00,94.01000213623047,94.19999694824219,93.76000213623047,93.98999786376953,430300,0,0
2022-11-30 14:02:00-05:00,93.9999008178711,94.20999908447266,93.97000122070312,94.1500015258789,513918,0,0
2022-11-30 14:03:00-05:00,94.16000366210938,94.23999786376953,94.11409759521484,94.23999786376953,262949,0,0
2022-11-30 14:04:00-05:00,94.2300033569336,94.37000274658203,94.2125015258789,94.31430053710938,421616,0,0
2022-11-30 14:05:00-05:00,94.31999969482422,94.55000305175781,94.30000305175781,94.3949966430664,469860,0,0
2022-11-30 14:06:00-05:00,94.39820098876953,94.58999633789062,94.39749908447266,94.56690216064453,348494,0,0
2022-11-30 14:07:00-05:00,94.56999969482422,94.63999938964844,94.47000122070312,94.54000091552734,339151,0,0
2022-11-30 14:08:00-05:00,94.55000305175781,94.55760192871094,94.36160278320312,94.41010284423828,335541,0,0
2022-11-30 14:09:00-05:00,94.42500305175781,94.45999908447266,94.30999755859375,94.30999755859375,212543,0,0
2022-11-30 14:10:00-05:00,94.30999755859375,94.52999877929688,94.30000305175781,94.5,266467,0,0
2022-11-30 14:11:00-05:00,94.4927978515625,94.62000274658203,94.44999694824219,94.4800033569336,273039,0,0
2022-11-30 14:12:00-05:00,94.4800033569336,94.65750122070312,94.45999908447266,94.62000274658203,226693,0,0
2022-11-30 14:13:00-05:00,94.62000274658203,94.6500015258789,94.30999755859375,94.4000015258789,290533,0,0
2022-11-30 14:14:00-05:00,94.39009857177734,94.52999877929688,94.37999725341797,94.50330352783203,146878,0,0
2022-11-30 14:15:00-05:00,94.5199966430664,94.62999725341797,94.43000030517578,94.5199966430664,342798,0,0
2022-11-30 14:16:00-05:00,94.52300262451172,94.55999755859375,94.47000122070312,94.51139831542969,165944,0,0
2022-11-30 14:17:00-05:00,94.5199966430664,94.9000015258789,94.51499938964844,94.87079620361328,486665,0,0
2022-11-30 14:18:00-05:00,94.87999725341797,94.97000122070312,94.80000305175781,94.88500213623047,353858,0,0
2022-11-30 14:19:00-05:00,94.87999725341797,95.30000305175781,94.83000183105469,95.24500274658203,617278,0,0
2022-11-30 14:20:00-05:00,95.24690246582031,95.3499984741211,95.14129638671875,95.23999786376953,438934,0,0
2022-11-30 14:21:00-05:00,95.24500274658203,95.30000305175781,95.08999633789062,95.29000091552734,367939,0,0
2022-11-30 14:22:00-05:00,95.27999877929688,95.44000244140625,95.1500015258789,95.25,482889,0,0
2022-11-30 14:23:00-05:00,95.26000213623047,95.2699966430664,95.11000061035156,95.19499969482422,222130,0,0
2022-11-30 14:24:00-05:00,95.18669891357422,95.41000366210938,95.13500213623047,95.31999969482422,259958,0,0
2022-11-30 14:25:00-05:00,95.31999969482422,95.33989715576172,95.02999877929688,95.16000366210938,324846,0,0
2022-11-30 14:26:00-05:00,95.16000366210938,95.31999969482422,95.04000091552734,95.11000061035156,320977,0,0
2022-11-30 14:27:00-05:00,95.11000061035156,95.20999908447266,95.0999984741211,95.19000244140625,274780,0,0
