Datetime,AAPL_High,AMZN_High,GOOG_High,META_High,NFLX_High
2023-02-01 06:28:00-05:00,144.07,102.69,99.7,147.025,352.9214285714286
2023-02-01 06:29:00-05:00,144.05,102.7,99.70285714285714,147.0,352.9285714285714
2023-02-01 06:30:00-05:00,144.05,102.69,99.7057142857143,146.96,352.93571428571425
2023-02-01 06:31:00-05:00,144.05,102.71,99.70857142857145,147.025,352.9428571428571
2023-02-01 06:32:00-05:00,144.05,102.69,99.71142857142856,147.09,352.95
2023-02-01 06:33:00-05:00,144.07,102.73,99.71428571428572,147.02,352.95714285714286
2023-02-01 06:34:00-05:00,144.07,102.73,99.71714285714286,147.26,352.9642857142857
2023-02-01 06:35:00-05:00,144.07,102.73,99.72,147.24333333333334,352.9714285714286
2023-02-01 06:36:00-05:00,144.05,102.73,99.72,147.22666666666666,352.9785714285714
2023-02-01 06:37:00-05:00,144.05,102.75,99.72,147.21,352.98571428571427
2023-02-01 06:38:00-05:00,144.05,102.74,99.73,147.08,352.99285714285713
2023-02-01 06:39:00-05:00,144.05,102.74,99.74,147.14,353.0
2023-02-01 06:40:00-05:00,144.05,102.75,99.74,147.06,352.995
2023-02-01 06:41:00-05:00,144.05,102.77,99.74,147.12,352.99
2023-02-01 06:42:00-05:00,144.01,102.72,99.74,146.97,352.94
2023-02-01 06:43:00-05:00,144.04,102.75,99.66,146.97,352.89
2023-02-01 06:44:00-05:00,144.08,102.74,99.70333333333332,147.1,353.27
2023-02-01 06:45:00-05:00,144.09,102.77,99.74666666666668,147.09199999999998,353.2
2023-02-01 06:46:00-05:00,144.08,102.75,99.79,147.084,353.0
2023-02-01 06:47:00-05:00,144.07,102.75,99.765,147.076,352.96
2023-02-01 06:48:00-05:00,144.07,102.77,99.74,147.068,353.008
2023-02-01 06:49:00-05:00,144.08,102.8,99.74428571428572,147.06,353.056
2023-02-01 06:50:00-05:00,144.09,102.8,99.74857142857142,147.07,353.104
2023-02-01 06:51:00-05:00,144.1,102.795,99.75285714285714,147.12,353.152
2023-02-01 06:52:00-05:00,144.09,102.79,99.75714285714284,147.1,353.2
2023-02-01 06:53:00-05:00,144.08,102.77,99.76142857142855,147.2,353.14
2023-02-01 06:54:00-05:00,144.085,102.8,99.76571428571428,147.18,353.08
2023-02-01 06:55:00-05:00,144.09,102.85,99.77,147.16,353.02
2023-02-01 06:56:00-05:00,144.1,102.85,99.77,147.12,353.17
2023-02-01 06:57:00-05:00,144.1,102.87,99.77,147.12,353.32
2023-02-01 06:58:00-05:00,144.09,102.92,99.77,147.12,353.31666666666666
2023-02-01 06:59:00-05:00,144.09,102.93,99.77,147.12,353.31333333333333
2023-02-01 07:00:00-05:00,144.16,102.94,99.78,147.25,353.31
2023-02-01 07:01:00-05:00,144.15,102.83,99.76,146.99,353.2
2023-02-01 07:02:00-05:00,144.13,102.85,99.76,147.0,353.5
2023-02-01 07:03:00-05:00,144.15,102.85,99.76,147.15,353.275
2023-02-01 07:04:00-05:00,144.14,102.9,99.75,147.14,353.05
2023-02-01 07:05:00-05:00,144.15,102.94,99.75,147.15,353.54
2023-02-01 07:06:00-05:00,144.16,102.94,99.72,147.1,353.43
2023-02-01 07:07:00-05:00,144.15,102.95,99.73,147.17,353.32
2023-02-01 07:08:00-05:00,144.15,102.95,99.74,147.3,353.5
2023-02-01 07:09:00-05:00,144.24,103.0,99.74,147.38,353.525
2023-02-01 07:10:00-05:00,144.23,103.06,99.74,147.2,353.55
2023-02-01 07:11:00-05:00,144.23,103.06,99.72333333333331,147.22,353.68
2023-02-01 07:12:00-05:00,144.2,103.1,99.70666666666666,147.22,353.64
2023-02-01 07:13:00-05:00,144.21,103.13,99.69,147.4,353.6
2023-02-01 07:14:00-05:00,144.21,103.2,99.77,147.47,353.6
2023-02-01 07:15:00-05:00,144.21,103.2,99.78,147.35,353.87
2023-02-01 07:16:00-05:00,144.17,103.19,99.74,147.48,353.86
2023-02-01 07:17:00-05:00,144.19,103.2,99.79,147.46,353.745
2023-02-01 07:18:00-05:00,144.21,103.22,99.86,147.48,353.63
2023-02-01 07:19:00-05:00,144.23,103.25,99.89,147.48,353.95
2023-02-01 07:20:00-05:00,144.26,103.25,99.895,147.47,353.975
2023-02-01 07:21:00-05:00,144.33,103.33,99.9,147.61,354.0
2023-02-01 07:22:00-05:00,144.35,103.35,99.91,147.63,354.15
2023-02-01 07:23:00-05:00,144.33,103.4,99.97,147.77,354.14
2023-02-01 07:24:00-05:00,144.35,103.43,99.99,147.87,354.19
2023-02-01 07:25:00-05:00,144.35,103.43,99.89,147.85,353.98
2023-02-01 07:26:00-05:00,144.35,103.47,99.9,147.7,353.87
2023-02-01 07:27:00-05:00,144.35,103.48,99.91,147.7,353.86
2023-02-01 07:28:00-05:00,144.33,103.49,99.93,147.67,353.85
2023-02-01 07:29:00-05:00,144.34,103.5,99.96,147.69,353.78
2023-02-01 07:30:00-05:00,144.35,103.49,99.95,147.7,353.6
2023-02-01 07:31:00-05:00,144.3,103.46,100.03,147.66,353.69
2023-02-01 07:32:00-05:00,144.3,103.55,100.0,147.64,353.615
2023-02-01 07:33:00-05:00,144.34,103.72,99.93,147.74,353.54
2023-02-01 07:34:00-05:00,144.32,103.7,99.98,147.66,353.59
2023-02-01 07:35:00-05:00,144.31,103.67,99.98,147.7,353.49
2023-02-01 07:36:00-05:00,144.37,103.67,99.97,147.68,353.445
2023-02-01 07:37:00-05:00,144.42,103.65,99.97,147.84,353.4
2023-02-01 07:38:00-05:00,144.41,103.65,99.91,147.78,353.45
2023-02-01 07:39:00-05:00,144.41,103.61,99.94,147.69,353.2
2023-02-01 07:40:00-05:00,144.38,103.6,99.94,147.75,353.205
2023-02-01 07:41:00-05:00,144.36,103.55,99.97,147.7,353.21
2023-02-01 07:42:00-05:00,144.36,103.58,99.98,147.69,353.2
2023-02-01 07:43:00-05:00,144.4,103.58,99.96,147.7,353.54
2023-02-01 07:44:00-05:00,144.33,103.55,99.94,147.6,353.38
2023-02-01 07:45:00-05:00,144.3,103.56,99.94,147.82,353.3533333333333
2023-02-01 07:46:00-05:00,144.33,103.61,99.92,147.82,353.32666666666665
2023-02-01 07:47:00-05:00,144.31,103.58,99.9,147.74,353.3
2023-02-01 07:48:00-05:00,144.27,103.56,99.89,147.64,353.25666666666666
2023-02-01 07:49:00-05:00,144.27,103.54,99.9,147.65,353.21333333333337
2023-02-01 07:50:00-05:00,144.26,103.53,99.86,147.6,353.17
2023-02-01 07:51:00-05:00,144.25,103.45,99.8,147.49,353.3
2023-02-01 07:52:00-05:00,144.22,103.4,99.78,147.39,353.25
2023-02-01 07:53:00-05:00,144.27,103.44,99.755,147.35,353.18
2023-02-01 07:54:00-05:00,144.28,103.46,99.73,147.36,353.11
2023-02-01 07:55:00-05:00,144.3,103.46,99.81,147.35,353.11
2023-02-01 07:56:00-05:00,144.29,103.42,99.89,147.4,353.11
2023-02-01 07:57:00-05:00,144.33,103.38,99.86,147.47,353.24
2023-02-01 07:58:00-05:00,144.4,103.46,99.88,147.45,353.5
2023-02-01 07:59:00-05:00,144.34,103.47,99.84,147.45,353.6
2023-02-01 08:00:00-05:00,144.44,103.72,100.0,148.97,356.9785
2023-02-01 08:01:00-05:00,144.4,103.68,99.975,148.0,354.105
2023-02-01 08:02:00-05:00,144.27,103.43,99.81,147.4,353.5985
2023-02-01 08:03:00-05:00,144.27,103.39,99.89,147.355,353.6
2023-02-01 08:04:00-05:00,144.25,103.37,99.8885,147.23,353.275
2023-02-01 08:05:00-05:00,144.25,103.34,99.88,147.19,353.5985
2023-02-01 08:06:00-05:00,144.24,103.34,99.84,147.19,353.5
2023-02-01 08:07:00-05:00,144.35,103.35,99.81,147.15,353.31
2023-02-01 08:08:00-05:00,144.3485,103.36,99.8351,147.15,353.6
2023-02-01 08:09:00-05:00,144.32,103.34,99.815,147.14,353.43
2023-02-01 08:10:00-05:00,144.28,103.31,99.75,147.12,353.32
2023-02-01 08:11:00-05:00,144.24,103.24,99.71,146.93,353.21000000000004
2023-02-01 08:12:00-05:00,144.24,103.25,99.68,146.93,353.1
2023-02-01 08:13:00-05:00,144.25,103.2,99.8,147.0,353.25
2023-02-01 08:14:00-05:00,144.25,103.22,99.75,147.0,353.29
2023-02-01 08:15:00-05:00,144.49,103.34,99.84,147.14,353.86
2023-02-01 08:16:00-05:00,144.45,103.34,99.81,147.1,353.8
2023-02-01 08:17:00-05:00,144.27,103.28,99.89,146.97,353.6
2023-02-01 08:18:00-05:00,144.33,103.41,99.81,147.08,353.54
2023-02-01 08:19:00-05:00,144.33,103.4,99.81,147.1,353.355
2023-02-01 08:20:00-05:00,144.3485,103.39,99.71,147.1,353.8
2023-02-01 08:21:00-05:00,144.24,103.4385,99.76,147.2,353.4
2023-02-01 08:22:00-05:00,144.24,103.47,99.89,147.2,353.8
2023-02-01 08:23:00-05:00,144.29,103.47,99.755,147.2,353.8
2023-02-01 08:24:00-05:00,144.22,103.42,99.8,147.1,353.38
2023-02-01 08:25:00-05:00,144.29,103.43,99.75,147.15,353.7
2023-02-01 08:26:00-05:00,144.26,103.43,99.75,147.1,353.305
2023-02-01 08:27:00-05:00,144.26,103.34,99.685,147.01,353.01
2023-02-01 08:28:00-05:00,144.23,103.38,99.64,147.0,353.2
2023-02-01 08:29:00-05:00,144.25,103.4,99.7,147.0,353.49
2023-02-01 08:30:00-05:00,144.25,103.39,99.73,147.0,353.49
2023-02-01 08:31:00-05:00,144.25,103.43,99.73,147.47,353.18
2023-02-01 08:32:00-05:00,144.25,103.47,99.75,147.5,353.2
2023-02-01 08:33:00-05:00,144.25,103.46,99.75,147.5,353.2
2023-02-01 08:34:00-05:00,144.22,103.38,99.75,147.4,353.49
2023-02-01 08:35:00-05:00,144.22,103.38,99.75,147.4,353.4885
2023-02-01 08:36:00-05:00,144.23,103.38,99.66,147.4,353.39
2023-02-01 08:37:00-05:00,144.21,103.38,99.65,147.5,353.39
2023-02-01 08:38:00-05:00,144.2,103.36,99.7,147.5,353.34
2023-02-01 08:39:00-05:00,144.23,103.32,99.75,147.44,353.745
2023-02-01 08:40:00-05:00,144.22,103.32,99.75,147.415,353.745
2023-02-01 08:41:00-05:00,144.19,103.15,99.7,147.42,353.4
2023-02-01 08:42:00-05:00,144.21,103.04,99.8085,147.42,353.5
2023-02-01 08:43:00-05:00,144.21,103.0,99.61,147.42,353.24
2023-02-01 08:44:00-05:00,144.2,103.0,99.8,147.61,353.205
2023-02-01 08:45:00-05:00,144.21,103.0,99.77,147.64,353.5
2023-02-01 08:46:00-05:00,144.25,103.0,99.73,147.6,353.355
2023-02-01 08:47:00-05:00,144.285,103.0,99.71,147.65,353.21
2023-02-01 08:48:00-05:00,144.26,103.0,99.74,147.65,353.555
2023-02-01 08:49:00-05:00,144.34,102.92,99.79,149.775,353.61
2023-02-01 08:50:00-05:00,144.27,102.9085,99.6801,147.6,353.555
2023-02-01 08:51:00-05:00,144.2985,102.86,99.75,147.56,353.87
2023-02-01 08:52:00-05:00,144.31,102.77,99.78,147.44,353.31
2023-02-01 08:53:00-05:00,144.26,102.7,99.78,147.59,353.0
2023-02-01 08:54:00-05:00,144.31,102.54,99.73,147.5485,353.31
2023-02-01 08:55:00-05:00,144.29,102.6,99.66,147.45,354.0
2023-02-01 08:56:00-05:00,144.34,102.74,99.67,147.53,353.5
2023-02-01 08:57:00-05:00,144.31,102.7,99.64,147.5,353.39
2023-02-01 08:58:00-05:00,144.2,102.55,99.64,147.5,353.36
2023-02-01 08:59:00-05:00,144.28,102.55,99.6185,147.55,353.18
2023-02-01 09:00:00-05:00,144.27,102.55,99.59,147.6,353.3
2023-02-01 09:01:00-05:00,144.31,102.55,99.67,147.65,353.58000000000004
2023-02-01 09:02:00-05:00,144.32,102.66,99.68,147.74,353.86
2023-02-01 09:03:00-05:00,144.3,102.65,99.686,147.59,354.0
2023-02-01 09:04:00-05:00,144.27,102.74,99.69,147.74,353.455
2023-02-01 09:05:00-05:00,144.25,102.75,99.7085,147.65,353.455
2023-02-01 09:06:00-05:00,144.26,102.75,99.62,147.61,353.9985
2023-02-01 09:07:00-05:00,144.24,102.7,99.69,147.7378,353.47
2023-02-01 09:08:00-05:00,144.21,102.685,99.7,147.75,353.555
2023-02-01 09:09:00-05:00,144.26,102.72,99.7,147.75,354.0
2023-02-01 09:10:00-05:00,144.27,102.77,99.7,147.69,353.95
2023-02-01 09:11:00-05:00,144.29,102.77,99.7,147.75,353.99
2023-02-01 09:12:00-05:00,144.25,102.77,99.67,147.75,353.31
2023-02-01 09:13:00-05:00,144.25,102.77,99.66,147.7,353.31
2023-02-01 09:14:00-05:00,144.25,102.77,99.69,147.62,354.6250012207031
2023-02-01 09:30:00-05:00,143.8699951171875,102.23999786376952,100.20999908447266,148.3300018310547,355.94000244140625
2023-02-01 09:31:00-05:00,143.86000061035156,102.45999908447266,100.21369934082033,148.38999938964844,354.739990234375
2023-02-01 09:32:00-05:00,143.75,102.5199966430664,100.08999633789062,148.22999572753906,352.8500061035156
2023-02-01 09:33:00-05:00,143.3679962158203,102.33000183105467,100.0999984741211,148.97000122070312,352.5
2023-02-01 09:34:00-05:00,143.22999572753906,102.1999969482422,100.1500015258789,148.69000244140625,351.9292907714844
2023-02-01 09:35:00-05:00,143.0399932861328,102.08000183105467,99.95999908447266,148.1199951171875,351.1700134277344
2023-02-01 09:36:00-05:00,143.1199951171875,101.83000183105467,100.0,148.1472930908203,351.389892578125
2023-02-01 09:37:00-05:00,143.04989624023438,101.9499969482422,99.95999908447266,148.3000030517578,350.9200134277344
2023-02-01 09:38:00-05:00,143.00999450683594,102.12999725341795,99.97000122070312,148.33999633789062,350.889892578125
2023-02-01 09:39:00-05:00,143.07769775390625,102.19000244140624,99.99500274658205,148.30999755859375,351.25
2023-02-01 09:40:00-05:00,143.3000030517578,102.24500274658205,99.84500122070312,148.1699981689453,351.0299987792969
2023-02-01 09:41:00-05:00,143.25999450683594,102.36000061035156,99.86609649658205,148.1699981689453,351.0799865722656
2023-02-01 09:42:00-05:00,143.10000610351562,102.29000091552734,99.7699966430664,148.1300048828125,351.5398864746094
2023-02-01 09:43:00-05:00,143.17999267578125,102.31999969482422,99.76000213623048,148.10000610351562,351.9100036621094
2023-02-01 09:44:00-05:00,143.1300048828125,101.9499969482422,99.6999969482422,148.08999633789062,351.2298889160156
2023-02-01 09:45:00-05:00,143.0800018310547,101.88990020751952,99.68000030517578,147.8699951171875,351.3500061035156
2023-02-01 09:46:00-05:00,142.99000549316406,101.97000122070312,99.66000366210938,147.66000366210938,351.3174133300781
