,SPY_Close
2023-02-08 08:08:00-05:00,413.49
2023-02-08 08:09:00-05:00,413.49
2023-02-08 08:10:00-05:00,413.44
2023-02-08 08:11:00-05:00,413.41
2023-02-08 08:12:00-05:00,413.38
2023-02-08 08:13:00-05:00,413.38
2023-02-08 08:14:00-05:00,413.37
2023-02-08 08:15:00-05:00,413.37
2023-02-08 08:16:00-05:00,413.4
2023-02-08 08:17:00-05:00,413.45
2023-02-08 08:18:00-05:00,413.5
2023-02-08 08:19:00-05:00,413.5
2023-02-08 08:20:00-05:00,413.33
2023-02-08 08:21:00-05:00,413.33
2023-02-08 08:22:00-05:00,413.33
2023-02-08 08:23:00-05:00,413.29
2023-02-08 08:24:00-05:00,413.28
2023-02-08 08:25:00-05:00,413.28
2023-02-08 08:26:00-05:00,413.285
2023-02-08 08:27:00-05:00,413.285
2023-02-08 08:28:00-05:00,413.31
2023-02-08 08:29:00-05:00,413.35
2023-02-08 08:30:00-05:00,413.45
2023-02-08 08:31:00-05:00,413.45
2023-02-08 08:32:00-05:00,413.45
2023-02-08 08:33:00-05:00,413.42
2023-02-08 08:34:00-05:00,413.42
2023-02-08 08:35:00-05:00,413.44
2023-02-08 08:36:00-05:00,413.46
2023-02-08 08:37:00-05:00,413.46
2023-02-08 08:38:00-05:00,413.46
2023-02-08 08:39:00-05:00,413.46
2023-02-08 08:40:00-05:00,413.41
2023-02-08 08:41:00-05:00,413.41
2023-02-08 08:42:00-05:00,413.4
2023-02-08 08:43:00-05:00,413.39
2023-02-08 08:44:00-05:00,413.3
2023-02-08 08:45:00-05:00,413.3
2023-02-08 08:46:00-05:00,413.35
2023-02-08 08:47:00-05:00,413.35
2023-02-08 08:48:00-05:00,413.39
2023-02-08 08:49:00-05:00,413.35
2023-02-08 08:50:00-05:00,413.43
2023-02-08 08:51:00-05:00,413.35
2023-02-08 08:52:00-05:00,413.4
2023-02-08 08:53:00-05:00,413.31
2023-02-08 08:54:00-05:00,413.22
2023-02-08 08:55:00-05:00,413.22
2023-02-08 08:56:00-05:00,413.275
2023-02-08 08:57:00-05:00,413.315
2023-02-08 08:58:00-05:00,413.34
2023-02-08 08:59:00-05:00,413.34
2023-02-08 09:00:00-05:00,413.27
2023-02-08 09:01:00-05:00,413.23
2023-02-08 09:02:00-05:00,413.23
2023-02-08 09:03:00-05:00,413.26
2023-02-08 09:04:00-05:00,413.26
2023-02-08 09:05:00-05:00,413.2
2023-02-08 09:06:00-05:00,413.2
2023-02-08 09:07:00-05:00,413.21
2023-02-08 09:08:00-05:00,413.21
2023-02-08 09:09:00-05:00,413.44
2023-02-08 09:10:00-05:00,413.63
2023-02-08 09:11:00-05:00,413.63
2023-02-08 09:12:00-05:00,413.61
2023-02-08 09:13:00-05:00,413.59
2023-02-08 09:14:00-05:00,413.485
2023-02-08 09:30:00-05:00,413.2999877929688
2023-02-08 09:31:00-05:00,413.260009765625
2023-02-08 09:32:00-05:00,413.16009521484375
2023-02-08 09:33:00-05:00,413.16009521484375
2023-02-08 09:34:00-05:00,413.260009765625
2023-02-08 09:35:00-05:00,413.510009765625
2023-02-08 09:36:00-05:00,413.510009765625
2023-02-08 09:37:00-05:00,413.7200012207031
2023-02-08 09:38:00-05:00,413.8800048828125
2023-02-08 09:39:00-05:00,413.9599914550781
2023-02-08 09:40:00-05:00,414.0050048828125
2023-02-08 09:41:00-05:00,414.05999755859375
2023-02-08 09:42:00-05:00,414.2608947753906
2023-02-08 09:43:00-05:00,414.2608947753906
2023-02-08 09:44:00-05:00,414.2401123046875
2023-02-08 09:45:00-05:00,414.2099914550781
2023-02-08 09:46:00-05:00,414.1950073242188
2023-02-08 09:47:00-05:00,414.1950073242188
2023-02-08 09:48:00-05:00,414.1000061035156
2023-02-08 09:49:00-05:00,413.7099914550781
2023-02-08 09:50:00-05:00,413.5299072265625
2023-02-08 09:51:00-05:00,413.4200134277344
2023-02-08 09:52:00-05:00,413.4100036621094
2023-02-08 09:53:00-05:00,413.4100036621094
2023-02-08 09:54:00-05:00,413.2900085449219
2023-02-08 09:55:00-05:00,413.4400024414063
2023-02-08 09:56:00-05:00,413.5499877929688
2023-02-08 09:57:00-05:00,413.5799865722656
2023-02-08 09:58:00-05:00,413.8900146484375
2023-02-08 09:59:00-05:00,413.8900146484375
2023-02-08 10:00:00-05:00,413.5400085449219
2023-02-08 10:01:00-05:00,413.5400085449219
2023-02-08 10:02:00-05:00,413.6400146484375
2023-02-08 10:03:00-05:00,413.6900024414063
2023-02-08 10:04:00-05:00,413.6900024414063
2023-02-08 10:05:00-05:00,413.6700134277344
2023-02-08 10:06:00-05:00,413.3399963378906
2023-02-08 10:07:00-05:00,413.2331848144531
2023-02-08 10:08:00-05:00,413.3399963378906
2023-02-08 10:09:00-05:00,413.3999938964844
2023-02-08 10:10:00-05:00,413.4901123046875
2023-02-08 10:11:00-05:00,413.5199890136719
2023-02-08 10:12:00-05:00,413.5299987792969
2023-02-08 10:13:00-05:00,413.5499877929688
2023-02-08 10:14:00-05:00,413.7149963378906
2023-02-08 10:15:00-05:00,413.9299926757813
2023-02-08 10:16:00-05:00,414.0801086425781
2023-02-08 10:17:00-05:00,414.2149963378906
2023-02-08 10:18:00-05:00,414.239990234375
2023-02-08 10:19:00-05:00,414.239990234375
2023-02-08 10:20:00-05:00,414.1199035644531
2023-02-08 10:21:00-05:00,413.8999938964844
2023-02-08 10:22:00-05:00,413.6199951171875
2023-02-08 10:23:00-05:00,413.5700073242188
2023-02-08 10:24:00-05:00,413.5299987792969
2023-02-08 10:25:00-05:00,413.4299926757813
2023-02-08 10:26:00-05:00,413.4299926757813
2023-02-08 10:27:00-05:00,413.3399963378906
2023-02-08 10:28:00-05:00,413.3699951171875
2023-02-08 10:29:00-05:00,413.3399963378906
2023-02-08 10:30:00-05:00,412.6300048828125
2023-02-08 10:31:00-05:00,412.3999938964844
2023-02-08 10:32:00-05:00,412.260009765625
2023-02-08 10:33:00-05:00,412.260009765625
2023-02-08 10:34:00-05:00,412.2799987792969
2023-02-08 10:35:00-05:00,412.2999877929688
2023-02-08 10:36:00-05:00,412.2999877929688
2023-02-08 10:37:00-05:00,412.55999755859375
2023-02-08 10:38:00-05:00,412.8598937988281
2023-02-08 10:39:00-05:00,412.8800048828125
2023-02-08 10:40:00-05:00,412.8800048828125
2023-02-08 10:41:00-05:00,412.8299865722656
2023-02-08 10:42:00-05:00,412.8200073242188
2023-02-08 10:43:00-05:00,412.7298889160156
2023-02-08 10:44:00-05:00,412.6499938964844
2023-02-08 10:45:00-05:00,412.6499938964844
2023-02-08 10:46:00-05:00,412.7900085449219
2023-02-08 10:47:00-05:00,412.7900085449219
2023-02-08 10:48:00-05:00,412.7900085449219
2023-02-08 10:49:00-05:00,412.6600036621094
2023-02-08 10:50:00-05:00,412.6199951171875
2023-02-08 10:51:00-05:00,412.3999938964844
2023-02-08 10:52:00-05:00,412.3999938964844
