,SPY_Low
2023-01-03 10:22:00-05:00,380.3399963378906
2023-01-03 10:23:00-05:00,380.4700012207031
2023-01-03 10:24:00-05:00,380.7699890136719
2023-01-03 10:25:00-05:00,380.7200012207031
2023-01-03 10:26:00-05:00,380.5700073242188
2023-01-03 10:27:00-05:00,380.55999755859375
2023-01-03 10:28:00-05:00,380.4599914550781
2023-01-03 10:29:00-05:00,380.4500122070313
2023-01-03 10:30:00-05:00,380.1600036621094
2023-01-03 10:31:00-05:00,380.0700073242188
2023-01-03 10:32:00-05:00,380.4500122070313
2023-01-03 10:33:00-05:00,380.3599853515625
2023-01-03 10:34:00-05:00,380.4400024414063
2023-01-03 10:35:00-05:00,380.55999755859375
2023-01-03 10:36:00-05:00,380.8200073242188
2023-01-03 10:37:00-05:00,380.7550048828125
2023-01-03 10:38:00-05:00,380.75
2023-01-03 10:39:00-05:00,380.8800048828125
2023-01-03 10:40:00-05:00,380.9800109863281
2023-01-03 10:41:00-05:00,381.2291870117188
2023-01-03 10:42:00-05:00,381.1499938964844
2023-01-03 10:43:00-05:00,381.0700073242188
2023-01-03 10:44:00-05:00,381.0199890136719
2023-01-03 10:45:00-05:00,381.0499877929688
2023-01-03 10:46:00-05:00,381.3500061035156
2023-01-03 10:47:00-05:00,381.4500122070313
2023-01-03 10:48:00-05:00,381.239990234375
2023-01-03 10:49:00-05:00,381.3399963378906
2023-01-03 10:50:00-05:00,381.0899963378906
2023-01-03 10:51:00-05:00,380.9100036621094
2023-01-03 10:52:00-05:00,380.9540100097656
2023-01-03 10:53:00-05:00,381.0799865722656
2023-01-03 10:54:00-05:00,380.9100036621094
2023-01-03 10:55:00-05:00,380.9299926757813
2023-01-03 10:56:00-05:00,381.2298889160156
2023-01-03 10:57:00-05:00,381.5799865722656
2023-01-03 10:58:00-05:00,381.75
2023-01-03 10:59:00-05:00,381.760009765625
2023-01-03 11:00:00-05:00,382.010009765625
2023-01-03 11:01:00-05:00,382.0907897949219
2023-01-03 11:02:00-05:00,381.9200134277344
2023-01-03 11:03:00-05:00,381.7000122070313
2023-01-03 11:04:00-05:00,381.55999755859375
2023-01-03 11:05:00-05:00,381.4400024414063
2023-01-03 11:06:00-05:00,381.3999938964844
2023-01-03 11:07:00-05:00,381.3200073242188
2023-01-03 11:08:00-05:00,381.30999755859375
2023-01-03 11:09:00-05:00,380.7000122070313
2023-01-03 11:10:00-05:00,380.3599853515625
2023-01-03 11:11:00-05:00,380.30999755859375
2023-01-03 11:12:00-05:00,380.2900085449219
2023-01-03 11:13:00-05:00,379.9602966308594
2023-01-03 11:14:00-05:00,379.4800109863281
2023-01-03 11:15:00-05:00,379.5700073242188
2023-01-03 11:16:00-05:00,379.5154113769531
2023-01-03 11:17:00-05:00,379.5700073242188
2023-01-03 11:18:00-05:00,379.80999755859375
2023-01-03 11:19:00-05:00,379.9249877929688
2023-01-03 11:20:00-05:00,379.6300048828125
2023-01-03 11:21:00-05:00,379.6300048828125
2023-01-03 11:22:00-05:00,379.6900024414063
2023-01-03 11:23:00-05:00,379.9450073242188
2023-01-03 11:24:00-05:00,380.0299987792969
2023-01-03 11:25:00-05:00,379.9338989257813
2023-01-03 11:26:00-05:00,379.7999877929688
2023-01-03 11:27:00-05:00,379.80999755859375
2023-01-03 11:28:00-05:00,379.531005859375
2023-01-03 11:29:00-05:00,379.4800109863281
2023-01-03 11:30:00-05:00,379.5
2023-01-03 11:31:00-05:00,379.2000122070313
2023-01-03 11:32:00-05:00,378.9700012207031
2023-01-03 11:33:00-05:00,379.5
2023-01-03 11:34:00-05:00,379.3599853515625
2023-01-03 11:35:00-05:00,379.3999938964844
2023-01-03 11:36:00-05:00,379.3699951171875
2023-01-03 11:37:00-05:00,379.3800048828125
2023-01-03 11:38:00-05:00,379.4100036621094
2023-01-03 11:39:00-05:00,379.5299987792969
2023-01-03 11:40:00-05:00,379.45989990234375
2023-01-03 11:41:00-05:00,379.3626098632813
2023-01-03 11:42:00-05:00,379.1300048828125
2023-01-03 11:43:00-05:00,379.2000122070313
2023-01-03 11:44:00-05:00,379.0899963378906
2023-01-03 11:45:00-05:00,378.9100036621094
2023-01-03 11:46:00-05:00,378.7200012207031
2023-01-03 11:47:00-05:00,378.7799987792969
2023-01-03 11:48:00-05:00,378.9500122070313
2023-01-03 11:49:00-05:00,379.010009765625
2023-01-03 11:50:00-05:00,378.9107971191406
2023-01-03 11:51:00-05:00,378.8203125
2023-01-03 11:52:00-05:00,378.7000122070313
2023-01-03 11:53:00-05:00,379.0799865722656
2023-01-03 11:54:00-05:00,378.9100036621094
2023-01-03 11:55:00-05:00,378.7000122070313
2023-01-03 11:56:00-05:00,378.6499938964844
2023-01-03 11:57:00-05:00,378.760009765625
2023-01-03 11:58:00-05:00,378.9700012207031
2023-01-03 11:59:00-05:00,379.0199890136719
2023-01-03 12:00:00-05:00,379.00201416015625
2023-01-03 12:01:00-05:00,378.9100036621094
2023-01-03 12:02:00-05:00,378.8299865722656
2023-01-03 12:03:00-05:00,378.8900146484375
2023-01-03 12:04:00-05:00,378.9100036621094
2023-01-03 12:05:00-05:00,378.7999877929688
2023-01-03 12:06:00-05:00,378.9800109863281
2023-01-03 12:07:00-05:00,379.239990234375
2023-01-03 12:08:00-05:00,379.2799987792969
2023-01-03 12:09:00-05:00,379.3599853515625
2023-01-03 12:10:00-05:00,379.3200073242188
2023-01-03 12:11:00-05:00,379.2701110839844
2023-01-03 12:12:00-05:00,379.39990234375
2023-01-03 12:13:00-05:00,379.4500122070313
2023-01-03 12:14:00-05:00,379.5398864746094
2023-01-03 12:15:00-05:00,379.3999938964844
2023-01-03 12:16:00-05:00,379.4299926757813
2023-01-03 12:17:00-05:00,379.1449890136719
2023-01-03 12:18:00-05:00,378.9800109863281
2023-01-03 12:19:00-05:00,379.1209106445313
2023-01-03 12:20:00-05:00,379.1099853515625
2023-01-03 12:21:00-05:00,379.1900024414063
2023-01-03 12:22:00-05:00,379.0499877929688
2023-01-03 12:23:00-05:00,378.6499938964844
2023-01-03 12:24:00-05:00,378.4299926757813
2023-01-03 12:25:00-05:00,378.5700073242188
